Category,Keyword,Web_Page_URL,Tweet_Website,Author_Name,Author_Web_Page_URL,Tweet_Timestamp,Tweet_Content,Tweet_Image_URL,Tweet_Video_URL,Tweet_AD,Tweet_Number_of_Reviews,Tweet_Number_of_Retweets,Tweet_Number_of_Likes,Tweet_Number_of_Looks
TopPost,#ProIsrael,https://twitter.com/search?q=#ProIsrael&src=typed_query&f=top,https://twitter.com/JAugustine02/status/1719957668339573194,James Augustine   ,https://twitter.com/JAugustine02,2023-11-02,"Rep. Ken Buck, one of the 23 who voted against censuring Rep. Rashida Tlaib, says he will not continue and will not seek re-election. I ask everyone who is a #Republican in #Colorado now is your time to find someone who is #AmericanFirst #ProLife #ProIsrael and is ready and…",,https://twitter.com/JAugustine02/status/1719957668339573194,False,,,2,114
TopPost,#ProIsrael,https://twitter.com/search?q=#ProIsrael&src=typed_query&f=top,https://twitter.com/marianoponceiii/status/1721536184269341099,Mariano Ponce III,https://twitter.com/marianoponceiii,2023-11-06,Are there any #ProIsrael rally happening in #MetroManila soon? I would love to attend to show my support #iStandWithIsrael,,https://twitter.com/marianoponceiii/status/1721536184269341099,False,,,,17
TopPost,#ProIsrael,https://twitter.com/search?q=#ProIsrael&src=typed_query&f=top,https://twitter.com/CoachBaba4/status/1719383289839108128,CoachBaba,https://twitter.com/CoachBaba4,2023-10-31,This is heartbreaking.#VisitIsrael #israeltourism #Christians #proisrael #Zionist https://twitter.com/jacksonhinklle/status/1719378199828701222…,,https://twitter.com/CoachBaba4/status/1719383289839108128,False,,,,37
TopPost,#ProIsrael,https://twitter.com/search?q=#ProIsrael&src=typed_query&f=top,https://twitter.com/meforum/status/1722089306620137475/,Middle East Forum,https://twitter.com/meforum,,"Israeli acceptance of a ceasefire in #Gaza would serve to “entrench and embolden #Hamas, the standard bearers of the most vociferous, genocidal brand of Palestinian and Arab rejectionism,” writes @GreggRoman.",https://pbs.twimg.com/card_img/1721304309147586560/z-CdIg4u?format=jpg&name=small,https://twitter.com/meforum/status/1722089306620137475/,True,6,14,28,20K
TopPost,#ProIsrael,https://twitter.com/search?q=#ProIsrael&src=typed_query&f=top,https://twitter.com/TexanDevilDog/status/1720451110278770772,TEXAS MARINE VETERAN,https://twitter.com/TexanDevilDog,2023-11-03,@TheDemocrats screwed theirselves with their simultaneous  #ProPalestine & #ProIsrael messaging.,,https://twitter.com/TexanDevilDog/status/1720451110278770772,False,,,,10
TopPost,#ProIsrael,https://twitter.com/search?q=#ProIsrael&src=typed_query&f=top,https://twitter.com/VeraKali1/status/1722073432395788678,El.KaliArye (ARO) Sharuz ShalicarReloadRate it,https://twitter.com/VeraKali1,2023-11-08,Unbelievable this Fake of death Palistinian Video!Support by HAMAS!?! #NoAntisemitismus#ProIsrael#ProDemokratie#ProPeace,,https://twitter.com/VeraKali1/status/1722073432395788678,False,,,,10
TopPost,#ProIsrael,https://twitter.com/search?q=#ProIsrael&src=typed_query&f=top,https://twitter.com/FramingIsrael/status/1721706103736860962,Cherryl SmithAG,https://twitter.com/FramingIsrael,2023-11-07,#ProIsrael rally in #NewYorkCity singing and solidarity,,https://twitter.com/FramingIsrael/status/1721706103736860962,False,,,1,63
TopPost,#ProIsrael,https://twitter.com/search?q=#ProIsrael&src=typed_query&f=top,https://twitter.com/einminute/status/1721976471483228255,Bi Dakka!AussieYazz ,https://twitter.com/einminute,2023-11-07,"""Peacefull #proisrael protester""",,https://twitter.com/einminute/status/1721976471483228255,False,,,1,15
TopPost,#ProIsrael,https://twitter.com/search?q=#ProIsrael&src=typed_query&f=top,https://twitter.com/IptvGlenn/status/1721880139624227110,WHITE PRIDE,https://twitter.com/IptvGlenn,2023-11-07,"67 year old Jewish man is murdered in California in brutal hate crime hit by a megaphone in Pro, Israel march #proisrael •#israeladvocacy •#jewishlivesmatter •#freeisraelfromterror",,https://twitter.com/IptvGlenn/status/1721880139624227110,False,,1,1,44
TopPost,#ProIsrael,https://twitter.com/search?q=#ProIsrael&src=typed_query&f=top,https://twitter.com/L_erbgha/status/1721456160216068595,OnlyHumanity,https://twitter.com/L_erbgha,2023-11-06,"""Israel's client state is the USA.USA's customer states are Arab countries and Europe""#istandwithisreael #Israel #Gaza #HamasislSIS #Palestine #Israelunderattack #IsraelFightsTerror #HamasISIS #HamasTerrorrists #FreePalestine #IDF #proIsrael #FreeGazaFromHamas #AntiZionism",,https://twitter.com/L_erbgha/status/1721456160216068595,False,,,,25
