,Category,Keyword,Web_Page_URL,Tweet_Website,Author_Name,Author_Web_Page_URL,Tweet_Timestamp,Tweet_Content,Tweet_Image_URL,Tweet_Number_of_Likes,Tweet_Number_of_Retweets,Tweet_Number_of_Reviews,Tweet_Number_of_Looks
64,TopPost,#Israel,https://twitter.com/search?q=#Israel&src=typed_query&f=top,https://twitter.com/Lucas_Gage_/status/1722114654405620201,Lucas Gage,https://twitter.com/Lucas_Gage_,45238,Do you understand now?#Israel #Zionism #GazaHolocaust  #JewHatred,https://pbs.twimg.com/media/F-Yt4TFXYAAq9Pt?format=png&name=small,5.7K,2K,469,284K
65,TopPost,#Israel,https://twitter.com/search?q=#Israel&src=typed_query&f=top,https://twitter.com/StewzieGriffin/status/1722278617546457157,StewieReloadRadioGenoa,https://twitter.com/StewzieGriffin,45238,BREAKING: Berlin stands with Gaza#Palestine #Hamas #Israel #FreePalestine #فلسطين_تنتصر #GazaHolocaust #IsraelisaGenocidalState #Gaza_Geniocide #Gaza,,344,178,39,25K
66,TopPost,#Israel,https://twitter.com/search?q=#Israel&src=typed_query&f=top,https://twitter.com/umyaznemo/status/1722192146059403562,Rania,https://twitter.com/umyaznemo,45238,"This is Mohammad Masri & family. He was a softly-spoken Arabic teacher; his wife Salam, a journalist; his kids are Hadi, Ali, and Sham. #Israel bombed their home killing them all except for seriously-injured 6-year old Ali, who is still unaware that he no longer has a family.…",https://pbs.twimg.com/media/F-Zz8UAWEAAJhiW?format=jpg&name=small,1.1K,1K,92,32K
67,TopPost,#Israel,https://twitter.com/search?q=#Israel&src=typed_query&f=top,https://twitter.com/bhadrauli/status/1722295606301827385,unblemishReload,https://twitter.com/bhadrauli,45238,Is this AI generated video or real support for Free Palestine ??  #ZionismIsTerrorism #Gaza #GazaHolocaust  #IsraelisaGenocidalState #Israel#GazaCeasefire #النصر_الدحيل#CeasefireInGazaNOW #Gaza_Geniocide #GazaGeniocide #غزة_تزحف_الى_القدس #Optusoutage #Hamas Istanbul war,,77,34,8,11K
68,TopPost,#Israel,https://twitter.com/search?q=#Israel&src=typed_query&f=top,https://twitter.com/Bsonja5/status/1722273350322671773,SonjaReloadClemenza ,https://twitter.com/Bsonja5,45238,#Israel is a terrorist organization!,https://pbs.twimg.com/media/F-YEhPgb0AAg5Qg?format=jpg&name=240x240,28,27,,1.5K
69,TopPost,#Israel,https://twitter.com/search?q=#Israel&src=typed_query&f=top,https://twitter.com/THOR_X_SAHIL/status/1722299964137865301,🆃🄷🅁ReloadJoe Truzman,https://twitter.com/THOR_X_SAHIL,45238,Israeli airstrikes reported in southern Lebanon. #Israel #Gaza_Geniocide by #HamasisISIS #GazaCeasefire#GazaHolocaust #Gaza #Gaza_under_attack #HamasTerrorist #FreeGaza from #HamasTerrorists #FreeGazazFromHamas #AUSvsAFG #غزة_تزحف_الى_القدس,,25,12,4,4.5K
70,TopPost,#Israel,https://twitter.com/search?q=#Israel&src=typed_query&f=top,https://twitter.com/shadabansari40/status/1722257528002867449,SHADZ TVReload,https://twitter.com/shadabansari40,,JUST INPalestinians rise from the ruins of there house in Gaza shows there unbelievable strength and resilience #GazaHolocaust #IsraelAttack #غزة_تزحف_الى_القدس #فلسطين_تنتصر #Israel #IsraeliNewNazism #حماس_تمثل_أمة_الإسلام#فلسطين_تنتصر #CeasefireNOW #Palestine trump…,,118,89,3,21K
71,TopPost,#Israel,https://twitter.com/search?q=#Israel&src=typed_query&f=top,https://twitter.com/Nadira_ali12/status/1722255253188284846,Nadira Ali,https://twitter.com/Nadira_ali12,45238,Iron dome of #israel,https://pbs.twimg.com/media/F-at-BhawAANWRb?format=jpg&name=small,357,176,21,10K
72,TopPost,#Israel,https://twitter.com/search?q=#Israel&src=typed_query&f=top,https://twitter.com/abierkhatib/status/1722001588015780331,AbierReload,https://twitter.com/abierkhatib,45237,"“ I will return to Be'eri only when the last Palestinian is destroyed. I don't care if it's child' elderly, people on crutches, I don’t care” The report is nodding her head like she’s listening to some cute romantic poem.Very healthy society #Gaza #Israel",,606,501,74,30K
73,TopPost,#Israel,https://twitter.com/search?q=#Israel&src=typed_query&f=top,https://twitter.com/asherb303/status/1721909535378432067,Asher Bitonאשר ביטוןReload,https://twitter.com/asherb303,45237,This how the #Palestinian people celebrated in #October7massacre. #TheWestIsNext #Hamas_is_ISIS #Islam #Iran #Gaza #Israel #HamasisISIS #HamasMassacre #Israel_under_attack,,50,34,12,13K
