Category,Keyword,Tweet_Website,Author_Name,Author_Web_Page_URL,UTC_Time,Tweet_Content,Tweet_Image_URL,Tweet_AD,Tweet_Number_of_Reviews,Tweet_Number_of_Retweets,Tweet_Number_of_Likes,Tweet_Number_of_Looks
Post&amp;Comment,Pro Palestine,https://twitter.com/kennardmatt/status/1721128449987789135,Matt Kennard,https://twitter.com/kennardmatt,2023-11-05T11:32:54.000Z,"The pro-Palestine demos are full of loving solidarity between Muslim, Jewish, Christian, people of all faiths + none. You can see it.That’s exactly what they’re scared of. Zionism is an ideology predicated on division. Love between all these disparate groups is its kryptonite.",,False,833,7.8K,19K,472K
Post&amp;Comment,Pro Palestine,https://twitter.com/SteveSheasby/status/1721259221331677672,Steve Sheasby,https://twitter.com/SteveSheasby,2023-11-05T20:12:32.000Z,"A Message: From our leader…Protesters marching in support of Palestine are CONDONING Hamas’s “brutality and murder”, Boris Johnson has said.                         ⁦@BorisJohnson⁩",https://pbs.twimg.com/card_img/1721233816625328128/w3L52dWV?format=jpg&name=small,False,38,170,447,5.8K
Post&amp;Comment,Pro Palestine,https://twitter.com/nem_or_hem/status/1720093245114646631,nemeliasΕρινύα,https://twitter.com/nem_or_hem,2023-11-02T14:59:22.000Z,you Should be pro-palestine w/o justifying russian war crimes. if you do then you don't actually stand for anything you claim to be standing for,,False,2,14,83,2.4K
Post&amp;Comment,Pro Palestine,https://twitter.com/NoonanJoe/status/1721608359307034652,Joe Noonan,https://twitter.com/NoonanJoe,2023-11-06T19:19:53.000Z,'The Dublin for Gaza group said it wants to ensure the Government is not supporting Israel by transporting weapons through Shannon Airport — which is currently being used as a stopover for the US military.'@imashacosta #Gaza #Palestine #Logistics,https://pbs.twimg.com/card_img/1721477840489558017/XZc2ejGZ?format=jpg&name=small,False,3,20,66,4.9K
Post&amp;Comment,Pro Palestine,https://twitter.com/MidlandsPhil/status/1721977505660154072,Pip,https://twitter.com/MidlandsPhil,2023-11-07T19:46:44.000Z,Not on.Pro-Palestine protesters vandalise Rochdale Cenotaph in 'unacceptable' stunt,https://pbs.twimg.com/card_img/1721973983694741504/WvBfpnZ8?format=jpg&name=small,False,13,31,46,2.3K
Post&amp;Comment,Pro Palestine,https://twitter.com/ex_excalibur/status/1721813827279294557,Ex Excalibur,https://twitter.com/ex_excalibur,2023-11-07T08:56:20.000Z,"Read this and weep: the Met Police are facilitating Hamas in London...The Met Police must be disbanded; it's completely compromised and, frankly, anti-British.@SuellaBraverman@metpoliceuk#ArmisticeWeekend",https://pbs.twimg.com/card_img/1721657253432840192/nvVBfQz-?format=jpg&name=small,False,,13,29,543
Post&amp;Comment,Pro Palestine,https://twitter.com/V_Palestine20/status/1720670380661076272,V PALESTINE Reload,https://twitter.com/V_Palestine20,2023-11-04T05:12:41.000Z,A large pro-Palestine demonstration takes place in London in support of Palestinians in Gaza and opposition to Israeli massacres.,,False,3,134,204,3.6K
Post&amp;Comment,Pro Palestine,https://twitter.com/MahyarTousi/status/1720025173678567727,Mahyar TousiMarina Medvin Reload,https://twitter.com/MahyarTousi,2023-11-02T10:28:52.000Z,"Here is the true face of the pro-Palestine mob when they think you're on their side.Open your eyes, everyone. They want war and genocide.",,False,60,543,1.4K,49K
Post&amp;Comment,Pro Palestine,https://twitter.com/therealmrbench/status/1720953814570950862,sonofabenchReloadDocumenting Antisemitism,https://twitter.com/therealmrbench,2023-11-04T23:58:57.000Z,"Another video of the Hate towards the Jewish Community i. Toronto today.Pro-Palestine is calling for a boycott of ""What-a-Bagel"" & Aroma.Is Trudeau and Singh going to denounce this Hate?#Israel #Gaza #Hamas #Palestine #cdnpoli #Antisemitism",,False,41,31,68,21K
Post&amp;Comment,Pro Palestine,https://twitter.com/Campb37345Maree/status/1721745315827478637,Maree Campbell,https://twitter.com/Campb37345Maree,,"Breaking:An elderly Jewish man has reportedly banged his head on an or with an object, at a pro-Palestine rally in the US. Concerned pro-Palestine activists rushed to his aid. Wishing him a speedy recovery.",https://pbs.twimg.com/media/F-TeFzkWQAA5ZDG?format=jpg&name=small,False,32,55,193,8.9K
